"Loại câu hỏi","Nội dung câu hỏi","Các đáp án","Vị trí đáp án đúng","Điểm mặc định","Giải thích","Độ khó","Media URL","Loại Media","Extra Image URL"
single_choice,"What color is the car in the picture?","Red|Blue|Green|Black",2,1.0,"It's clearly a blue car.",easy,https://picsum.photos/id/1071/400/300.jpg,image,
single_choice,"Listen to the audio and look at the picture. What is the car color?","Red|Blue|Green|Black",2,1.0,"It's a blue car.",easy,https://www.computerhope.com/jargon/m/example.mp3,audio,https://picsum.photos/id/1071/400/300.jpg
multiple_answer,"Which items are on the table?","Book|Pen|Laptop|Apple","1|2|3",1.5,"The table has stationary and electronics.",medium,https://picsum.photos/id/1/400/300.jpg,image,
single_choice,"Identify the animal shown.","Dog|Cat|Elephant|Lion",1,1.0,"It's a Golden Retriever.",easy,https://picsum.photos/id/237/400/300.jpg,image,
multiple_answer,"What shapes can you see?","Circle|Square|Triangle","1|3",2.0,"Only circles and triangles are visible.",hard,https://picsum.photos/id/1050/400/300.jpg,image,
single_choice,"Who is the person in the portrait?","Albert Einstein|Isaac Newton|Marie Curie",1,1.0,"Famous physicist.",medium,https://picsum.photos/id/342/400/300.jpg,image,
multiple_answer,"Select all fruits in the basket.","Banana|Carrot|Apple|Potato|Grapes","1|3|5",2.5,"Carrot and potato are vegetables.",medium,https://picsum.photos/id/429/400/300.jpg,image,
single_choice,"What is the weather like in the photo?","Sunny|Rainy|Snowy|Cloudy",3,1.0,"You can see snow on the ground.",easy,https://picsum.photos/id/861/400/300.jpg,image,
single_choice,"What time is shown on the clock?","10:00|12:30|03:15|06:45",4,1.5,"The hands are at 6 and 9.",medium,https://picsum.photos/id/175/400/300.jpg,image,
multiple_answer,"Which signs indicate danger?","Sign A|Sign B|Sign C|Sign D","2|4",2.0,"Signs with skull and fire.",hard,https://picsum.photos/id/824/400/300.jpg,image,
single_choice,"What type of building is this?","Hospital|School|Bank|Restaurant",2,1.0,"Students are walking in.",easy,https://picsum.photos/id/338/400/300.jpg,image,
single_choice,"Listen to the audio. What is the man asking for?","A cup of coffee|Directions to the station|A menu|The bill",2,1.0,"He asks 'Where is the train station?'",medium,https://www.computerhope.com/jargon/m/example.mp3,audio,
multiple_answer,"Which languages are spoken in the recording?","English|Spanish|French|German","1|2",2.0,"We hear English and Spanish.",hard,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-1.mp3,audio,
single_choice,"Identify the background noise.","Traffic|Ocean waves|Birds singing|People talking",3,1.0,"Clear chirping sounds.",easy,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-2.mp3,audio,
single_choice,"What emotion is the speaker expressing?","Anger|Joy|Sadness|Surprise",1,1.5,"He is shouting loudly.",medium,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-3.mp3,audio,
multiple_answer,"What numbers did she mention?","Thirteen|Thirty|Fourteen|Forty","2|4",2.5,"She specifically stressed the 'ty' sound.",hard,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-4.mp3,audio,
single_choice,"Where is the announcement taking place?","Airport|Train Station|Supermarket|School",1,1.0,"Flight 102 is boarding.",easy,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-5.mp3,audio,
single_choice,"What is the main topic of the lecture?","History|Science|Math|Art",2,1.5,"The professor discusses physics.",medium,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-6.mp3,audio,
multiple_answer,"Which instruments are playing?","Piano|Guitar|Drums|Violin","1|4",2.0,"Classical duo.",hard,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-7.mp3,audio,
single_choice,"How much does the ticket cost?","$10|$15|$20|$25",2,1.0,"He hands over $20 and gets $5 back.",medium,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-8.mp3,audio,
single_choice,"What is the weather forecast for tomorrow?","Rain|Sun|Snow|Wind",1,1.0,"Don't forget your umbrella.",easy,https://www.soundhelix.com/examples/mp3/SoundHelix-Song-9.mp3,audio,
