Mã Nhóm,Loại câu hỏi,Nội dung câu hỏi,Các đáp án,Vị trí đáp án đúng,Điểm mặc định,Giải thích,Độ khó,Media URL,Loại Media,Extra Image URL
,single_choice,Thỏ trắng có 3 củ cà rốt bạn gấu cho thêm 4 củ. Thỏ trắng có mấy củ cà rốt?,5 củ|6 củ|7 củ|8 củ,3,1.0,3 + 4 = 7 củ cà rốt,easy,https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?q=80&w=400,image,
,single_choice,Hình nào dưới đây là hình tam giác? (Chọn đáp án mô tả đúng nhất),Hình có 3 cạnh|Hình tròn xoe|Hình vuông vắn|Hình quả trứng,1,1.0,Hình tam giác có 3 cạnh.,easy,,,
,single_choice,Thỏ trắng đi siêu thị mua 10 quả dâu tây trên đường đi làm rơi 2 quả. Hỏi thỏ trắng mang về nhà mấy quả?,7|8|9|10,2,1.0,10 - 2 = 8,medium,https://images.unsplash.com/photo-1464965911861-746a04b4bca6?q=80&w=400,image,
,single_choice,6 + 3 bằng mấy?,7|8|9|10,3,1.0,,easy,,,
,single_choice,Thỏ trắng có 2 cái kẹo Mèo con có 3 cái kẹo. Cả hai có mấy cái kẹo?,3|4|5|6,3,1.0,2 + 3 = 5,easy,,,
,single_choice,Số lớn nhất trong các số: 2 / 5 / 9 / 1 là số nào?,2|5|9|1,3,1.0,Số 9 là số lớn nhất,medium,,,
,single_choice,Số bé nhất trong các số: 8 / 3 / 4 / 7 là số nào?,8|3|4|7,2,1.0,Số 3 là bé nhất,medium,,,
,single_choice,Có 4 bông hoa Thỏ hái thêm 5 bông nữa. Tất cả là mấy bông?,7|8|9|10,3,1.0,4 + 5 = 9,easy,https://xcdn-cf.vuihoc.vn/upload/5c209fe6176b0/2022/02/24/1f98_picture8.png,image,
,single_choice,10 - 7 bằng mấy?,2|3|4|5,2,1.0,,easy,,,
,single_choice,Hình vuông có mấy cạnh?,2 cạnh|3 cạnh|4 cạnh|5 cạnh,3,1.0,Hình vuông có 4 cạnh bằng nhau,easy,,,
